fcode,fname,incdate
004200.OF,博时富瑞纯债A,2017-03-03
004230.OF,永赢添益,2017-02-27
004238.OF,永赢瑞益,2017-03-02
004242.OF,兴业稳康三年,2017-01-20
004246.OF,德邦锐乾A,2017-01-18
004254.OF,民生加银汇鑫一年A,2017-04-25
004264.OF,海富通瑞合纯债,2017-03-24
004307.OF,博时富元纯债,2017-02-16
004322.OF,创金合信尊隆纯债,2017-02-10
004333.OF,金鹰元盛E,2017-02-14
004334.OF,博时广利纯债3个月,2017-02-16
004366.OF,博时汇享纯债A,2017-02-28
004386.OF,广发汇安18个月A,2017-03-31
004388.OF,鹏华丰享,2017-03-09
004389.OF,大成惠明,2017-06-06
004400.OF,金信民兴A,2017-03-08
004438.OF,鹏华永安18个月,2017-03-16
004441.OF,富荣富兴纯债,2017-03-09
004458.OF,博时华盈纯债,2017-03-09
004459.OF,鑫元瑞利定期开放,2017-03-13
004463.OF,鹏华丰玉,2017-03-10
004464.OF,万家玖盛9个月A,2017-06-07
004469.OF,汇添富鑫益定开A,2017-04-20
004479.OF,博时富和纯债,2017-08-30
004498.OF,鹏华丰源,2017-06-08
004499.OF,鹏华丰瑞,2017-04-25
004503.OF,鹏华永泰18个月,2017-05-25
004504.OF,鹏华永泽18个月,2018-01-24
004544.OF,嘉实稳华纯债,2017-06-14
004555.OF,南方和元A,2017-05-19
004567.OF,新华安享惠泽39个月定开A,2020-03-12
004601.OF,博时富腾纯债,2017-06-27
004602.OF,前海开源润和A,2017-08-14
004627.OF,上投摩根岁岁益A,2018-01-25
004629.OF,国寿安保安瑞纯债,2017-06-12
004630.OF,平安合信3个月定开债,2019-12-16
004632.OF,平安合意定期开放,2019-01-24
004637.OF,华夏鼎兴A,2018-01-12
004639.OF,华夏恒慧一年定开,2020-04-17
004655.OF,汇添富鑫汇A,2017-06-23
004681.OF,万家安弘A,2017-08-18
004689.OF,博时丰庆纯债,2017-08-23
004705.OF,南方祥元A,2017-08-03
004722.OF,中银丰和定期开放,2017-06-23
004723.OF,中银丰实定期开放,2017-06-21
004728.OF,中欧瑾泰A,2017-08-09
004736.OF,富国鼎利三个月定开债,2017-06-28
004767.OF,中银智享,2018-02-01
004797.OF,国寿安保安盛纯债3个月,2017-12-26
004800.OF,浦银安盛盛通,2017-12-28
004821.OF,国寿安保安吉纯债半年,2017-08-22
004825.OF,平安惠泽,2017-07-14
004826.OF,平安惠悦,2017-09-12
004831.OF,汇添富鑫泽定期开放A,2018-03-08
004838.OF,信达澳银安益纯债,2018-03-06
004844.OF,中银利享,2017-12-26
004850.OF,中欧弘涛A,2017-09-01
004859.OF,泰康年年红一年定开,2017-08-30
004882.OF,中银丰荣,2018-01-10
004887.OF,长信稳通三个月定开,2017-11-03
004893.OF,华润元大润泽A,2018-06-06
004897.OF,长安泓源纯债A,2017-07-27
004899.OF,中银信享定期开放,2017-09-29
004910.OF,中加颐享纯债,2017-07-27
004911.OF,中加纯债定期开放A,2017-07-20
004919.OF,兴全兴泰定期开放,2017-08-31
004920.OF,富国泓利纯债A,2017-07-25
004921.OF,华夏鼎瑞三个月A,2017-10-17
004923.OF,华夏鼎祥三个月A,2017-10-18
004940.OF,中加聚鑫纯债一年A,2017-09-15
004954.OF,中银证券中高等级A,2019-01-25
004956.OF,中银证券安誉A,2018-03-29
004960.OF,平安合泰定期开放,2019-03-19
004978.OF,富国聚利纯债三个月,2017-08-10
004979.OF,华夏鼎诺三个月A,2017-10-13
005024.OF,南方兴利半年,2017-09-12
005047.OF,南华瑞扬纯债A,2017-12-26
005054.OF,泰康瑞坤纯债,2017-12-27
005068.OF,长信富海纯债一年A,2017-08-16
005069.OF,长信富民纯债一年A,2017-08-16
005070.OF,长江乐丰纯债定期开放,2017-08-22
005072.OF,中银丰进定期开放,2017-11-27
005073.OF,永赢永益A,2017-09-07
005077.OF,平安合韵定开纯债,2018-04-26
005124.OF,易方达恒益,2017-10-25
005127.OF,平安合正定开纯债,2018-01-19
005158.OF,长江乐盈定期开放,2017-11-24
005159.OF,华泰保兴尊合A,2017-11-21
005171.OF,富国景利纯债,2017-11-09
005172.OF,泰康安悦纯债,2017-11-01
005200.OF,浦银安盛普瑞纯债A,2018-12-13
005208.OF,国寿安保安裕纯债半年,2017-11-14
005213.OF,华夏鼎旺三个月A,2018-02-01
005234.OF,广发汇吉3个月,2018-01-29
005277.OF,海富通融丰定期开放,2018-02-11
005286.OF,银华岁丰定期开放,2018-02-11
005289.OF,融通通昊三个月定期开放,2018-04-17
005307.OF,财通资管鸿达纯债A,2018-01-24
005309.OF,中银证券汇嘉定期开放,2018-03-26
005315.OF,泰达宏利交利3个月A,2017-12-27
005321.OF,中银证券汇宇定期开放,2017-11-17
005322.OF,中银丰禧,2017-12-27
005327.OF,景顺长城景泰稳利A,2017-12-26
005336.OF,中加颐慧三个月A,2017-11-17
005338.OF,兴业3个月定开,2018-06-06
005340.OF,兴业6个月定期开放,2017-12-29
005345.OF,长安泓润纯债A,2018-06-06
005361.OF,中融聚商3个月定开,2018-03-08
005362.OF,中银证券安源A,2018-12-26
005364.OF,华夏鼎顺三个月定开A,2018-08-06
005366.OF,上投摩根丰瑞A,2017-11-27
005369.OF,富国臻利纯债定开,2018-04-12
005375.OF,建信睿和纯债定开,2018-02-02
005377.OF,华安鼎瑞定期开放,2017-12-13
005378.OF,前海联合泓元纯债,2017-12-06
005383.OF,富国绿色纯债,2018-01-26
005384.OF,银河铭忆3个月,2017-12-20
005388.OF,兴业安弘3个月,2017-12-29
005393.OF,南方卓利3个月定开A,2018-01-19
005398.OF,鹏扬淳优一年定开,2018-01-19
005407.OF,华夏鼎泰六个月定开A,2018-04-13
005410.OF,汇添富鑫盛定期开放A,2018-04-16
005419.OF,中欧聚瑞A,2018-08-02
005423.OF,浙商汇金聚禄一年A,2018-08-06
005425.OF,民生加银睿通3个月,2019-01-30
005426.OF,光大尊丰纯债定期开放,2019-08-01
005427.OF,渤海汇金汇增利3个月,2017-12-28
005428.OF,渤海汇金汇添益3个月,2017-12-28
005431.OF,上银聚增富定期开放,2017-12-27
005432.OF,上银聚鸿益三个月定开,2018-07-20
005435.OF,国投瑞银顺银6个月,2018-02-23
005436.OF,圆信永丰兴瑞6个月,2018-06-11
005439.OF,易方达恒安,2018-05-15
005442.OF,兴业安和6个月,2018-03-02
005446.OF,鑫元广利定期开放,2017-12-13
005448.OF,诺安联创顺鑫A,2018-05-17
005451.OF,鹏扬双利A,2018-02-13
005455.OF,建信睿丰纯债定开,2018-03-14
005462.OF,博时富业纯债3个月,2018-07-02
005465.OF,华泰紫金智惠定开A,2019-04-15
005467.OF,华泰紫金智盈A,2018-03-15
005469.OF,南方浙利,2018-03-09
005470.OF,南方乾利,2018-03-09
005476.OF,南方涪利,2018-04-12
005485.OF,海富通恒丰,2018-04-13
005488.OF,天弘尊享定开,2017-12-25
005497.OF,鑫元永利,2019-05-09
005500.OF,银华岁盈定期开放,2018-07-25
005501.OF,华安安逸半年定开,2018-03-15
005507.OF,永赢丰利A,2018-01-29
005525.OF,工银瑞信瑞祥定开,2018-06-11
005527.OF,中信建投山西国有企业债A,2018-09-13
005529.OF,银华华茂,2018-05-25
005531.OF,华安安悦A,2018-03-06
005547.OF,诺安圆鼎定期开放,2018-01-23
005548.OF,诺安鑫享定期开放,2018-02-07
005556.OF,汇安裕华纯债,2018-02-07
005573.OF,东吴悦秀纯债A,2018-04-23
005575.OF,长信稳鑫三个月定开,2018-01-19
005577.OF,交银丰晟收益A,2018-05-23
005579.OF,光大晟利A,2018-08-01
005590.OF,汇添富鑫永定期开放A,2018-01-25
005594.OF,招商添润3个月定开A,2018-01-17
005606.OF,招商招鸿6个月定开,2018-03-15
005610.OF,中银泰享定期开放,2018-03-21
005611.OF,中银证券汇享定期开放,2018-05-29
005617.OF,中信保诚嘉鑫3个月定开,2018-01-30
005622.OF,博时富安纯债3个月,2018-02-02
005625.OF,南华瑞鑫定开,2018-03-15
005631.OF,博时富乾纯债3个月,2018-02-08
005637.OF,中融聚业3个月,2018-10-17
005641.OF,国投瑞银顺源6个月,2018-02-07
005645.OF,华泰保兴尊信定开纯债,2018-02-06
005647.OF,广发汇佳,2018-03-12
005648.OF,招商添琪3个月定开A,2018-03-01
005654.OF,天弘悦享定开,2018-05-14
005655.OF,诺安浙享定期开放,2018-09-27
005666.OF,上银慧佳盈,2018-05-17
005667.OF,易方达富财纯债,2018-10-26
005670.OF,嘉实致兴定开纯债,2018-06-08
005677.OF,安信永盛,2018-03-30
005678.OF,安信尊享添益A,2018-03-14
005684.OF,财通资管鸿睿12个月A,2018-08-10
005690.OF,中银安享,2018-11-26
005703.OF,永赢增益A,2018-03-06
005705.OF,永赢恒益,2018-05-14
005709.OF,华安鼎益A,2018-11-02
005710.OF,兴业嘉润3个月,2018-03-08
005712.OF,兴全祥泰定期开放,2018-03-16
005713.OF,中融季季红定期开放A,2018-03-23
005715.OF,人保纯债一年定开A,2018-03-23
005718.OF,长信富瑞两年定开债A,2019-09-04
005719.OF,招商招诚半年定开,2018-09-20
005720.OF,前海开源乾盛A,2018-03-15
005722.OF,前海联合泓瑞,2018-03-07
005723.OF,中融聚安3个月定开,2018-04-10
005731.OF,财通资管睿智6个月,2018-03-15
005736.OF,中欧兴华定开,2018-10-17
005740.OF,易方达恒信,2018-03-27
005745.OF,广发汇康,2018-04-16
005749.OF,银河庭芳3个月,2018-03-14
005750.OF,平安双债添益A,2018-06-04
005752.OF,金鹰添盛定开,2018-09-26
005753.OF,泰达宏利金利3个月,2018-03-19
005766.OF,平安合瑞,2018-03-26
005772.OF,工银瑞信瑞景定开,2018-06-07
005778.OF,广发汇元纯债定开,2018-03-30
005779.OF,鑫元常利定期开放,2018-03-22
005780.OF,鑫元增利定开,2018-05-25
005781.OF,华富富瑞3个月,2018-03-29
005782.OF,创金合信汇益A,2018-06-26
005784.OF,创金合信汇誉A,2018-06-26
005786.OF,中邮纯债汇利三个月,2018-09-21
005790.OF,银河景行3个月定开,2018-06-13
005791.OF,华夏鼎福三个月A,2018-09-21
005816.OF,国泰农惠定期开放,2019-03-20
005817.OF,金元顺安沣顺定开,2018-04-23
005818.OF,金元顺安沣泰定开,2018-05-09
005820.OF,博时富兴纯债3个月,2018-04-12
005822.OF,国富恒裕6个月,2018-04-10
005828.OF,长江乐越定开,2018-04-12
005831.OF,鹏华尊悦3个月,2018-05-09
005836.OF,创金合信泰盈双季红6个月定开债A,2019-10-16
005841.OF,富国尊利纯债定开,2018-04-26
005842.OF,海富通弘丰定开,2018-11-02
005845.OF,长城久荣纯债定开,2018-06-13
005846.OF,宝盈盈泰A,2018-06-20
005849.OF,鑫元合利,2018-04-19
005853.OF,财通聚利纯债,2018-09-26
005854.OF,财通汇利纯债,2018-06-26
005857.OF,汇添富鑫成定期开放A,2018-04-26
005862.OF,华夏鼎禄三个月定开A,2018-10-11
005864.OF,国投瑞银顺达,2018-06-07
005871.OF,天弘荣享定期开放,2018-06-25
005872.OF,太平恒利纯债,2018-06-15
005879.OF,中加颐兴定期开放,2018-06-08
005884.OF,平安合悦定开,2018-06-27
005890.OF,先锋博盈纯债A,2019-08-14
005892.OF,先锋汇盈A,2018-09-06
005895.OF,平安合丰定开纯债,2018-07-16
005896.OF,平安合慧定开,2018-06-20
005897.OF,平安合颖定开纯债,2018-09-19
005898.OF,浦银安盛盛泽定开,2018-09-26
005917.OF,广发汇誉3个月定开,2018-06-20
005920.OF,富国颐利纯债,2018-08-20
005921.OF,农银汇理金鑫3个月,2018-05-03
005931.OF,中融恒裕纯债A,2018-10-26
005936.OF,申万菱信安泰惠利A,2018-08-16
005951.OF,民生加银恒益纯债A,2018-06-14
005964.OF,中欧安财定开,2018-05-15
005971.OF,平安惠锦纯债,2018-10-17
005972.OF,交银裕如纯债A,2018-05-25
005988.OF,兴业纯债6个月定开A,2018-06-27
005995.OF,国投瑞银顺泓定开,2018-06-26
005996.OF,国投瑞银顺昌纯债,2018-09-06
006011.OF,中信保诚稳鸿A,2018-05-31
006016.OF,平安惠安纯债,2018-06-04
006019.OF,广发景智纯债,2018-11-07
006023.OF,宝盈聚丰两年定开A,2019-09-27
006026.OF,东吴鼎泰,2018-11-02
006027.OF,国投瑞银顺祥定期开放,2018-10-17
006029.OF,鹏华尊享6个月,2018-06-20
006032.OF,创金合信汇泽纯债三个月,2019-09-12
006035.OF,中融恒惠纯债A,2018-12-27
006037.OF,国泰瑞和纯债,2018-08-30
006040.OF,安信永瑞定开,2018-06-01
006043.OF,永赢惠益A,2018-06-15
006045.OF,长城久瑞三个月定开债,2019-08-28
006053.OF,中航瑞景3个月A,2018-08-28
006055.OF,鹏扬淳合,2018-06-21
006066.OF,中加颐睿纯债A,2018-07-25
006068.OF,中加颐信纯债A,2018-06-14
006070.OF,银河沃丰,2018-09-14
006071.OF,银河睿嘉A,2018-06-14
006082.OF,鑫元全利A,2018-10-25
006086.OF,银河睿丰定开,2018-11-20
006088.OF,永赢润益A,2018-08-16
006090.OF,前海开源鼎康A,2018-08-02
006092.OF,永赢荣益A,2018-09-13
006094.OF,永赢泰益A,2018-06-25
006096.OF,中金浙金6个月定开,2018-06-21
006097.OF,平安高等级债A,2019-05-29
006099.OF,泰达宏利泽利3个月,2018-09-20
006107.OF,招商添利6个月定开A,2018-06-27
006112.OF,易方达恒惠定期开放,2018-06-26
006116.OF,国泰丰祺纯债,2018-11-16
006120.OF,中融聚明3个月定开,2018-12-07
006134.OF,富国金融债,2018-09-14
006135.OF,长江乐鑫纯债定开,2018-08-16
006137.OF,广发汇立定期开放,2018-12-13
006142.OF,鑫元淳利定期开放,2018-07-11
006145.OF,前海开源鼎欣A,2018-08-16
006149.OF,南方赢元,2018-09-17
006150.OF,招商添利两年定期开放,2018-09-20
006151.OF,南方交元,2018-12-13
006152.OF,国联安增鑫纯债A,2019-01-03
006164.OF,融通通捷,2018-11-15
006169.OF,工银瑞信瑞福纯债A,2018-11-07
006171.OF,鹏扬淳利定期开放,2018-08-09
006172.OF,万家鑫悦纯债A,2018-08-20
006174.OF,长信稳裕三个月,2018-08-31
006177.OF,中信保诚稳达A,2018-08-31
006180.OF,中加颐合纯债,2018-09-13
006183.OF,南方泽元,2018-09-14
006184.OF,格林泓鑫A,2018-10-29
006186.OF,永赢盈益A,2018-08-30
006188.OF,华泰保兴尊颐定开,2018-07-26
006191.OF,华夏鼎通A,2018-10-23
006203.OF,前海联合泳祺纯债A,2018-09-06
006206.OF,融通增悦,2018-09-14
006210.OF,东方臻宝纯债A,2018-08-08
006212.OF,东方臻选纯债A,2018-08-24
006219.OF,海富通鼎丰定开,2018-11-02
006222.OF,平安惠兴,2018-08-02
006237.OF,永赢嘉益,2018-09-26
006242.OF,宝盈盈润纯债,2019-08-16
006264.OF,平安惠轩,2018-09-06
006275.OF,永赢聚益A,2018-08-28
006284.OF,浙商兴永纯债定开,2019-04-24
006287.OF,永赢盛益A,2018-09-14
006300.OF,华宝宝丰高等级A,2018-08-30
006304.OF,中加颐鑫纯债,2018-09-14
006316.OF,平安惠诚纯债,2019-01-31
006325.OF,招商添荣3个月定开A,2018-11-22
006332.OF,招商金鸿A,2018-11-02
006337.OF,华安安浦A,2018-09-06
006358.OF,前海联合泳盛纯债A,2019-01-10
006367.OF,交银裕祥纯债A,2018-09-26
006378.OF,广发汇宏6个月定开,2019-05-14
006383.OF,招商添盈纯债A,2019-01-07
006393.OF,招商添德3个月定开A,2018-09-12
006404.OF,浦银安盛盛融定开,2018-12-12
006405.OF,华富恒盛纯债A,2018-11-20
006411.OF,中加颐智纯债,2018-11-29
006412.OF,平安合锦定开,2018-09-21
006421.OF,中银弘享,2018-11-29
006422.OF,嘉合磐稳纯债A,2018-11-22
006427.OF,招商添悦纯债A,2018-10-26
006431.OF,汇安鼎利纯债A,2019-03-20
006443.OF,永赢裕益A,2018-10-12
006450.OF,嘉实致盈,2018-11-02
006453.OF,中加瑞利纯债A,2018-12-26
006461.OF,人保福泽纯债一年定开,2018-12-12
006464.OF,浦银安盛普益纯债A,2018-11-08
006468.OF,嘉实稳联纯债,2019-05-30
006470.OF,工银瑞信目标收益一年A,2018-09-25
006475.OF,国泰嘉睿纯债,2018-10-11
006489.OF,招商添裕纯债A,2019-02-13
006495.OF,国联安增富一年定开纯债,2018-11-14
006498.OF,中科沃土沃盛纯债A,2019-12-12
006504.OF,广发汇承定期开放,2018-10-19
006505.OF,永赢祥益A,2018-10-12
006508.OF,国联安增裕一年定开纯债,2018-11-22
006509.OF,国联安增盈纯债A,2019-05-08
006513.OF,鹏扬淳享A,2018-12-12
006544.OF,平安惠聚纯债,2019-01-22
006549.OF,国金惠盈纯债A,2019-04-03
006552.OF,广发汇兴3个月定开,2018-10-29
006558.OF,永赢通益A,2018-11-22
006563.OF,安信优享纯债,2018-12-07
006565.OF,光大尊泰三年定开债,2019-12-05
006570.OF,中金金元A,2018-11-08
006576.OF,永赢诚益A,2018-11-07
006582.OF,博时富永纯债3个月,2018-12-19
006583.OF,中信保诚景泰A,2018-12-26
006588.OF,中加聚利纯债定开A,2018-11-27
006596.OF,国泰聚禾纯债,2018-11-14
006599.OF,国寿安保安丰纯债,2018-11-29
006612.OF,银华信用精选一年,2018-12-05
006613.OF,富荣富金专项金融债纯债,2019-02-18
006617.OF,工银瑞信瑞泽定开,2019-07-18
006625.OF,汇安嘉鑫纯债,2018-11-26
006631.OF,鑫元臻利A,2019-01-25
006635.OF,永赢伟益,2018-12-13
006636.OF,华富恒欣纯债A,2019-05-06
006638.OF,人保鑫盛纯债A,2018-12-25
006640.OF,中金新元六个月A,2018-11-15
006653.OF,南方畅利定期开放,2018-12-19
006660.OF,永赢昌益A,2018-11-29
006665.OF,华夏鼎康A,2019-01-24
006667.OF,南华瑞元定期开放,2019-04-11
006670.OF,广发景秀纯债,2019-03-21
006681.OF,景顺长城景泰聚利纯债,2018-12-07
006686.OF,人保安惠三个月定开,2018-12-05
006706.OF,中融聚汇3个月定开,2019-08-21
006707.OF,永赢宏益A,2018-12-05
006714.OF,博时富源纯债,2019-03-04
006715.OF,东方永泰纯债1年定开A,2019-01-18
006722.OF,天弘穗利一年定开A,2019-01-30
006725.OF,国泰丰盈纯债,2018-12-19
006731.OF,方正富邦富利纯债A,2018-12-05
006737.OF,诺安恒惠,2019-05-23
006742.OF,南方臻元,2019-02-26
006747.OF,东海祥利纯债,2018-12-28
006750.OF,富国德利纯债定开,2019-03-07
006754.OF,鑫元悦利定期开放,2019-04-30
006758.OF,农银汇理金禄,2018-12-21
006761.OF,银河家盈,2018-12-14
006762.OF,国泰聚享纯债,2018-12-13
006764.OF,景顺长城景泰鑫利纯债,2019-01-21
006767.OF,银河嘉裕纯债,2018-12-25
006771.OF,永赢合益,2019-03-07
006776.OF,华夏鼎略A,2019-01-25
006782.OF,国泰信利三个月定开,2019-03-25
006788.OF,金鹰添鑫定期开放,2018-12-26
006789.OF,中信保诚景丰A,2019-01-15
006791.OF,建信睿兴纯债,2019-04-26
006795.OF,国泰裕祥三个月定开,2019-09-02
006811.OF,大成景盈,2019-06-24
006812.OF,大成惠福纯债,2019-07-18
006826.OF,华宝宝裕纯债A,2019-03-07
006827.OF,中加瑞鑫纯债,2019-01-17
006828.OF,银河久泰纯债,2019-09-19
006838.OF,鑫元荣利三个月定开,2019-01-24
006841.OF,嘉实致享纯债,2019-01-28
006842.OF,南方国利六个月,2019-01-10
006846.OF,中银福建国有企业债A,2019-06-25
006850.OF,永赢颐利,2019-01-18
006853.OF,中银汇享,2019-09-04
006854.OF,人保鑫泽纯债A,2019-04-03
006856.OF,银河丰泰3个月定开,2019-05-21
006869.OF,广发政策性金融债,2019-08-14
006884.OF,汇添富AAA级信用纯债A,2019-02-22
006889.OF,平安惠鸿纯债,2019-01-31
006901.OF,上银慧祥利A,2019-01-24
006913.OF,南方华元A,2019-02-25
006915.OF,南方亨元A,2019-03-01
006919.OF,国寿安保泰和纯债,2019-02-20
006927.OF,浙商汇金聚鑫定期开放,2019-03-25
006929.OF,博时富融纯债,2019-01-29
006934.OF,平安3-5年期政策性金融债A,2019-01-31
006936.OF,华安安盛3个月定开,2019-01-25
006941.OF,国泰惠盈纯债,2019-03-07
006944.OF,永赢悦利,2019-05-09
006946.OF,宝盈聚享纯债定期开放,2019-05-08
006949.OF,前海开源乾利3个月定开,2019-01-29
006953.OF,华安安业A,2019-07-31
006955.OF,国泰惠富纯债,2019-03-15
006956.OF,鹏华永润一年定开,2019-03-21
006958.OF,鹏华永融一年定开,2019-03-12
006963.OF,中加颐瑾六个月定开A,2019-07-12
006970.OF,广发景利,2019-07-24
006974.OF,金鹰鑫日享A,2019-03-20
006978.OF,泰康安欣纯债A,2019-09-17
006980.OF,国寿安保泰恒纯债,2019-06-27
006984.OF,兴全恒瑞三个月定开,2019-06-21
006985.OF,兴全恒裕,2019-03-12
006986.OF,平安季添盈三个月A,2019-03-05
006993.OF,鑫元承利三个月定开,2019-03-01
006994.OF,国泰瑞安三个月定开,2019-05-30
006995.OF,南方惠利6个月定开A,2019-03-26
006997.OF,平安惠添纯债,2019-06-21
007003.OF,泰康安业政策性金融债A,2019-05-27
007008.OF,中邮纯债优选一年A,2019-06-14
007023.OF,中银证券安泽A,2019-05-15
007025.OF,南方鑫利3个月定开,2019-03-25
007037.OF,海富通聚合纯债,2019-10-31
007050.OF,鑫元恒利三个月定开,2019-07-05
007053.OF,平安季开鑫三个月定开A,2019-08-14
007061.OF,中加聚盈四个月定开A,2019-05-29
007068.OF,浦银安盛普丰纯债A,2019-09-10
007086.OF,永赢汇利六个月定开债,2019-10-14
007087.OF,财通景利纯债,2019-07-19
007088.OF,民生加银恒裕,2019-05-23
007091.OF,东兴兴福一年定开,2019-04-10
007102.OF,民生加银添鑫纯债A,2019-08-14
007104.OF,易方达恒利3个月定开,2019-04-04
007105.OF,国泰丰鑫纯债,2019-09-17
007116.OF,华宝政策性金融债,2019-09-06
007117.OF,华泰紫金丰泰纯债A,2019-05-30
007121.OF,中加裕盈纯债,2019-04-18
007145.OF,泰康安和纯债6个月,2019-05-15
007158.OF,平安合盛定期开放,2019-05-10
007161.OF,南方恒庆一年定开A,2019-05-21
007167.OF,华安安和A,2019-11-19
007173.OF,招商添旭3个月定开A,2019-04-10
007175.OF,中融聚通3个月定开债,2019-11-22
007179.OF,浙商丰顺纯债,2019-12-19
007184.OF,蜂巢添鑫纯债A,2019-04-24
007189.OF,南华价值启航纯债A,2019-11-22
007196.OF,平安惠合纯债,2019-12-18
007199.OF,永赢泰利A,2019-04-11
007201.OF,民生加银聚益纯债,2019-07-05
007206.OF,银华丰华三个月定开,2019-09-17
007212.OF,山西证券裕泰3个月定开,2019-05-30
007213.OF,华安安平6个月定开,2019-06-06
007214.OF,国泰惠丰纯债,2019-08-05
007215.OF,国寿安保泰荣纯债,2019-04-25
007220.OF,天弘华享三个月定开,2019-06-19
007224.OF,浙商惠泉3个月定开A,2019-12-26
007256.OF,广发汇阳三个月,2019-11-21
007260.OF,国投瑞银顺祺,2019-07-09
007264.OF,人保中高等级信用债A,2019-08-14
007268.OF,山西证券裕睿6个月A,2019-06-03
007278.OF,国泰兴富三个月定开,2019-07-26
007279.OF,永赢众利,2019-07-11
007286.OF,中邮纯债裕利三个月,2019-04-26
007292.OF,民生加银兴盈,2019-05-21
007295.OF,天弘安益A,2019-05-14
007302.OF,华宝宝盛纯债,2019-04-26
007309.OF,鹏华9-10年利率债A,2019-05-09
007311.OF,方正富邦添利A,2019-10-31
007321.OF,鹏华金利,2019-08-02
007323.OF,永赢久利,2019-12-05
007327.OF,前海联合泳辉纯债A,2019-07-05
007329.OF,上投摩根瑞益纯债A,2019-11-26
007331.OF,国泰惠融纯债,2019-08-05
007332.OF,嘉合磐昇纯债A,2019-11-15
007336.OF,汇安嘉盛纯债A,2020-01-17
007342.OF,国投瑞银顺臻纯债,2019-08-21
007347.OF,永赢昌利A,2019-07-24
007351.OF,永赢同利A,2019-07-18
007358.OF,前海联合泳益纯债A,2019-05-23
007370.OF,华安安嘉6个月定开,2019-10-10
007371.OF,国联安增瑞政策性金融债A,2019-05-23
007373.OF,永赢卓利,2019-05-09
007374.OF,永赢淳利,2019-10-17
007375.OF,西部利得聚利6个月定开A,2019-07-16
007377.OF,西部利得聚享一年定开A,2019-06-27
007391.OF,申万菱信安泰丰利A,2019-08-30
007396.OF,广发景辉纯债,2019-12-04
007403.OF,银河睿安,2019-06-24
007406.OF,银河睿鑫纯债,2019-12-26
007408.OF,鹏扬淳开A,2019-11-06
007417.OF,泰康信用精选A,2019-09-04
007419.OF,国寿安保泰弘纯债,2019-07-23
007420.OF,华安鼎信3个月定开,2019-05-15
007425.OF,浙商汇金中高等级三个月A,2019-06-21
007427.OF,永赢凯利,2019-05-17
007429.OF,鹏扬淳盈6个月A,2019-06-21
007432.OF,华泰保兴久盈63个月定开,2020-08-24
007433.OF,兴银合丰政策性金融债,2019-08-09
007435.OF,华宝宝怡纯债,2019-05-15
007437.OF,中金新润3个月A,2020-01-21
007440.OF,南方旭元A,2019-06-24
007445.OF,国投瑞银顺悦3个月定开,2019-12-31
007447.OF,平安惠泰,2019-06-05
007451.OF,易方达恒兴3个月定开,2019-10-15
007454.OF,民生加银嘉盈,2019-11-07
007459.OF,浙商惠睿纯债,2020-02-05
007461.OF,德邦锐泓A,2019-09-17
007476.OF,中银惠兴多利A,2020-02-07
007478.OF,中加恒泰三个月定开,2019-07-31
007480.OF,中加优享纯债,2020-01-20
007482.OF,永赢智益纯债三个月,2019-06-17
007488.OF,万家民安增利12个月A,2019-07-31
007492.OF,上银政策性金融债,2019-12-19
007496.OF,农银汇理丰泽三年定开债,2019-08-26
007500.OF,鹏华尊诚3个月,2019-06-11
007503.OF,上投摩根瑞利纯债A,2019-08-28
007510.OF,南方泰元A,2019-07-11
007513.OF,博时富丰3个月定开,2019-06-26
007516.OF,融通增润三个月定期开放,2019-11-08
007517.OF,博时富淳纯债3个月定开,2019-07-18
007520.OF,富安达富利纯债,2019-07-23
007525.OF,易方达年年恒夏纯债一年定开A,2019-07-11
007532.OF,国泰盛合三个月定开债,2019-10-25
007535.OF,中欧盈和5年定开债,2019-07-11
007536.OF,博时富乐纯债,2019-09-17
007537.OF,景顺长城景泰盈利纯债,2019-06-26
007540.OF,华泰保兴安悦,2019-07-11
007544.OF,鹏华尊晟3个月,2019-06-19
007545.OF,太平恒安三个月定开,2019-06-27
007546.OF,融通增享纯债,2019-11-08
007551.OF,鑫元泽利,2019-09-02
007554.OF,财通恒利纯债,2019-09-02
007555.OF,中航瑞明A,2020-04-10
007557.OF,中加优选中高等级A,2019-12-05
007559.OF,鑫元富利三个月定开债,2019-11-13
007560.OF,中融恒鑫纯债A,2019-08-20
007562.OF,景顺长城景泰纯利,2019-10-21
007563.OF,兴银汇逸三个月定开债,2019-07-18
007564.OF,鹏扬淳明A,2019-12-25
007566.OF,中银宁享,2020-03-06
007567.OF,南方恒新39个月定开债A,2019-07-31
007572.OF,中加民丰纯债,2019-07-26
007573.OF,农银丰盈定开债,2019-12-04
007576.OF,华夏鼎琪三个月定期开放,2019-07-24
007584.OF,鹏华丰鑫,2019-09-20
007585.OF,工银瑞弘3个月定开,2019-11-19
007587.OF,浙商丰裕纯债A,2019-12-19
007589.OF,嘉实致元42个月定开,2019-08-05
007591.OF,华夏恒益18个月定开,2019-09-04
007595.OF,招商添泽A,2020-03-18
007598.OF,广发民玉纯债,2020-01-20
007600.OF,泰康润颐63个月,2020-07-27
007601.OF,人保利璟纯债A,2019-08-14
007607.OF,人保添利9个月定开债A,2019-11-06
007609.OF,汇安嘉诚A,2019-08-09
007611.OF,汇安裕和纯债A,2020-03-20
007616.OF,富国投资级信用债A,2019-09-26
007619.OF,中欧润逸63个月定开,2020-07-29
